,"GAAP -[October 29, 2022]","GAAP -[January 28, 2023]","GAAP -[April 29, 2023]","GAAP -[July 29, 2023]","NON-GAAP -[October 29, 2022]","NON-GAAP -[January 28, 2023]","NON-GAAP -[April 29, 2023]","NON-GAAP -[July 29, 2023]"
Revenue - Product,10245,10155,11092,11650,10245,10155,11092,11650
Revenue - Service,3387,3437,3479,3553,3387,3437,3479,3553
Revenue - Total revenue,13632,13592,14571,15203,13632,13592,14571,15203
Cost of Sales - Product,10245,10155,11092,11650,10245,10155,11092,11650
Cost of Sales - Service,3387,3437,3479,3553,3387,3437,3479,3553
Cost of Sales - Total cost of sales,,,,,,,,
Gross Margin - Product gross margin percentage,0.592093704245974,0.602363367799114,0.627118644067797,0.636309012875536,0.610248901903367,0.621467257508616,0.644879192210602,0.654592274678112
Gross Margin - Service gross margin percentage,0.673162090345438,0.672097759674134,0.654210980166715,0.657191106107515,0.687924416888102,0.691300552807681,0.673181948835872,0.674922600619195
Gross Margin - Total gross margin percentage,0.612235915492958,0.619997057092407,0.633587262370462,0.641189238965994,0.629548122065728,0.639125956444968,0.651636812847437,0.65934355061501
Operating Expenses - Research and development,,,,,,,,
Operating Expenses - Sales and marketing,,,,,,,,
Operating Expenses - General and administrative,,,,,,,,
Operating Expenses - Amortization of purchased intangible assets,,,,,,,,
Operating Expenses - Restructuring and other charges,,,,,,,,
Operating Expenses - Total operating expenses,,,,,,,,
Operating Expenses - Operating expense as a percentage of revenue,0.352552816901408,0.377795762213067,0.362775375746346,0.361441820693284,0.311326291079812,0.314376103590347,0.312538604076591,0.305597579425113
Operating Income - Operating income as a percentage of revenue,0.259683098591549,0.242201294879341,0.270811886624116,0.279747418272709,0.318221830985916,0.32474985285462,0.339098208770846,0.353745971189897
Interest - Interest income,169,219,262,312,169,219,262,312
Interest - Interest expense,-100,-107,-109,-111,-100,-107,-109,-111
Interest - Interest and other income ,-65,123,11,218,44,79,134,163
Cash dividends declared per common share,0.38,0.38,0.39,0.39,,,,
